seq_id,start,end,strand,type,gbkey,gene_biotype,locus_tag,product,name,old_locus_tag,Function
NC_006350.1,3633441,3634232,+,CDS,CDS,NA,BPS_RS16360,2-(1%2C2-epoxy-1%2C2-dihydrophenyl)acetyl-CoA isomerase PaaG,paaG,BPSL3043,Small_molecules_degradation
NC_006350.1,3374311,3374838,+,CDS,CDS,NA,BPS_RS15150,2-amino-4-hydroxy-6-hydroxymethyldihydropteridine diphosphokinase,folK,BPSL2822,Cofactor/carriers_biosynthesis
NC_006351.1,478571,479668,+,CDS,CDS,NA,BPS_RS20530,2-aminoethylphosphonate ABC transport system ATP-binding subunit PhnT,phnT,BPSS0345,Cell_envelope
NC_006351.1,480583,481437,+,CDS,CDS,NA,BPS_RS20540,2-aminoethylphosphonate ABC transport system%2C membrane component PhnV,phnV,BPSS0347,Cell_envelope
NC_006351.1,479646,480593,+,CDS,CDS,NA,BPS_RS20535,2-aminoethylphosphonate ABC transporter permease subunit,phnU,BPSS0346,Cell_envelope
NC_006351.1,477432,478514,+,CDS,CDS,NA,BPS_RS20525,2-aminoethylphosphonate ABC transporter substrate-binding protein,phnS,BPSS0344,Cell_envelope
NC_006351.1,691309,692376,-,CDS,CDS,NA,BPS_RS21450,2-aminoethylphosphonate aminotransferase,BPS_RS21450,BPSS0507,Putative_assignment
NC_006351.1,476085,477194,-,CDS,CDS,NA,BPS_RS20520,2-aminoethylphosphonate--pyruvate transaminase,BPS_RS20520,BPSS0343,Small_molecules_degradation
NC_006350.1,2518066,2518554,-,CDS,CDS,NA,BPS_RS11195,2-C-methyl-D-erythritol 2%2C4-cyclodiphosphate synthase,ispF,BPSL2098,Central/Intermediary_metabolism
NC_006350.1,2518595,2519305,-,CDS,CDS,NA,BPS_RS11200,2-C-methyl-D-erythritol 4-phosphate cytidylyltransferase,ispD,BPSL2099,Central/Intermediary_metabolism
NC_006350.1,3543016,3543705,-,CDS,CDS,NA,BPS_RS15935,2-dehydro-3-deoxy-6-phosphogalactonate aldolase,BPS_RS15935,BPSL2970,Small_molecules_degradation
NC_006350.1,3543743,3544756,-,CDS,CDS,NA,BPS_RS15940,2-dehydro-3-deoxygalactonokinase,BPS_RS15940,BPSL2971,Small_molecules_degradation
NC_006350.1,982298,983254,+,CDS,CDS,NA,BPS_RS04440,2-dehydropantoate 2-reductase,BPS_RS04440,BPSL0844,Hypothetical_proteins
NC_006350.1,1026361,1027386,+,CDS,CDS,NA,BPS_RS04660,2-dehydropantoate 2-reductase,BPS_RS04660,BPSL0885,Putative_assignment
NC_006350.1,1626684,1627685,+,CDS,CDS,NA,BPS_RS07420,2-dehydropantoate 2-reductase,BPS_RS07420,BPSL1399,Cofactor/carriers_biosynthesis
NC_006350.1,1686162,1687067,-,CDS,CDS,NA,BPS_RS07705,2-hydroxy-3-oxopropionate reductase,BPS_RS07705,BPSL1450,Central/Intermediary_metabolism
NC_006350.1,3274033,3275037,+,CDS,CDS,NA,BPS_RS14695,2-hydroxyacid dehydrogenase,BPS_RS14695,BPSL2734,Energy_metabolism_-_carbon
NC_006351.1,1863764,1864696,-,CDS,CDS,NA,BPS_RS26160,2-hydroxyacid dehydrogenase,BPS_RS26160,BPSS1362,Putative_assignment
NC_006350.1,3253725,3254363,+,CDS,CDS,NA,BPS_RS14605,2-hydroxychromene-2-carboxylate isomerase,BPS_RS14605,BPSL2719,Putative_assignment
NC_006350.1,556694,558334,-,CDS,CDS,NA,BPS_RS02665,2-isopropylmalate synthase,leuA,BPSL0507,Putative_assignment
NC_006350.1,1384648,1386195,+,CDS,CDS,NA,BPS_RS06305,2-isopropylmalate synthase,BPS_RS06305,BPSL1201,Amino_acid_biosynthesis
NC_006351.1,283368,284558,+,CDS,CDS,NA,BPS_RS19725,2-methylaconitate cis-trans isomerase PrpF,prpF,BPSS0209,Energy_metabolism_-_carbon
NC_006351.1,279370,280542,+,CDS,CDS,NA,BPS_RS19715,2-methylcitrate synthase,prpC,BPSS0207,Energy_metabolism_-_carbon
NC_006351.1,3051555,3053006,-,CDS,CDS,NA,BPS_RS31245,2-oxo acid dehydrogenase subunit E2,BPS_RS31245,BPSS2271,Small_molecules_degradation
NC_006350.1,2543922,2544443,-,CDS,CDS,NA,BPS_RS11300,2-oxo-4-hydroxy-4-carboxy-5-ureidoimidazoline decarboxylase,uraD,BPSL2117,Small_molecules_degradation
NC_006351.1,937887,938690,+,CDS,CDS,NA,BPS_RS22490,2-oxo-hepta-3-ene-1%2C7-dioic acid hydratase,hpaH,BPSS0697,Small_molecules_degradation
NC_006350.1,2270344,2271621,-,CDS,CDS,NA,BPS_RS10160,2-oxoglutarate dehydrogenase complex dihydrolipoyllysine-residue succinyltransferase,odhB,BPSL1908,Energy_metabolism_-_carbon
NC_006350.1,2271756,2274620,-,CDS,CDS,NA,BPS_RS10165,2-oxoglutarate dehydrogenase E1 component,BPS_RS10165,BPSL1909,Energy_metabolism_-_carbon
NC_006350.1,3616964,3617590,-,CDS,CDS,NA,BPS_RS16295,2-polyprenyl-3-methyl-6-methoxy-1%2C4-benzoquinone monooxygenase,coq7,BPSL3035,Cofactor/carriers_biosynthesis
NC_006350.1,483930,484679,-,CDS,CDS,NA,BPS_RS02320,2%2C3-diphosphoglycerate-dependent phosphoglycerate mutase,gpmA,BPSL0443,Energy_metabolism_-_carbon
NC_006350.1,2606741,2607568,+,CDS,CDS,NA,BPS_RS11575,2%2C3%2C4%2C5-tetrahydropyridine-2%2C6-dicarboxylate N-succinyltransferase,dapD,BPSL2169,Amino_acid_biosynthesis
NC_006351.1,994808,995302,-,CDS,CDS,NA,BPS_RS22725,2%2C4'-dihydroxyacetophenone dioxygenase family protein,BPS_RS22725,BPSS0739,Hypothetical_proteins
NC_006350.1,1433904,1436784,+,rRNA,rRNA,NA,BPS_RS06565,23S ribosomal RNA,BPS_RS06565,BPSLr02,-
NC_006350.1,3623873,3626753,-,rRNA,rRNA,NA,BPS_RS16320,23S ribosomal RNA,BPS_RS16320,BPSLr05,-
NC_006350.1,3831184,3834064,-,rRNA,rRNA,NA,BPS_RS17380,23S ribosomal RNA,BPS_RS17380,BPSLr08,-
NC_006351.1,487486,490366,+,rRNA,rRNA,NA,BPS_RS20580,23S ribosomal RNA,BPS_RS20580,BPSSr02,-
NC_006351.1,492322,493167,-,CDS,CDS,NA,BPS_RS20605,23S rRNA (adenine(2030)-N(6))-methyltransferase RlmJ,rlmJ,BPSS0352,Conserved_hypothetical_proteins
NC_006350.1,1749059,1750195,+,CDS,CDS,NA,BPS_RS08030,23S rRNA (adenine(2503)-C(2))-methyltransferase RlmN,rlmN,BPSL1511,Macromolecule_biosynthesis/modification
NC_006350.1,2226546,2227289,-,CDS,CDS,NA,BPS_RS09970,23S rRNA (guanosine(2251)-2'-O)-methyltransferase RlmB,rlmB,BPSL1873,Macromolecule_biosynthesis/modification
NC_006350.1,1339795,1340265,-,CDS,CDS,NA,BPS_RS06085,23S rRNA (pseudouridine(1915)-N(3))-methyltransferase RlmH,rlmH,BPSL1160,Ribosome_constituents
NC_006350.1,1746174,1747571,+,CDS,CDS,NA,BPS_RS08015,23S rRNA (uracil(1939)-C(5))-methyltransferase RlmD,rlmD,BPSL1508,Ribosome_constituents
NC_006351.1,816784,817074,-,CDS,CDS,NA,BPS_RS21920,2Fe-2S iron-sulfur cluster-binding protein,BPS_RS21920,BPSS0595,Putative_assignment
NC_006351.1,1734147,1734950,-,CDS,CDS,NA,BPS_RS25640,2OG-Fe dioxygenase family protein,BPS_RS25640,BPSS1270,Secondary_metabolism
NC_006351.1,1086233,1086883,-,CDS,CDS,NA,BPS_RS23110,2OG-Fe(II) oxygenase,BPS_RS23110,BPSS0811,Hypothetical_proteins
NC_006351.1,2126529,2127311,+,CDS,CDS,NA,BPS_RS27270,2OG-Fe(II) oxygenase,BPS_RS27270,BPSS1567,Conserved_hypothetical_proteins
NC_006351.1,1045840,1047045,+,CDS,CDS,NA,BPS_RS22950,3-(3-hydroxy-phenyl)propionate transporter MhpT,mhpT,BPSS0782,Transport_/_Binding_proteins
NC_006351.1,44271,45629,+,CDS,CDS,NA,BPS_RS18775,3-carboxy-cis%2Ccis-muconate cycloisomerase,BPS_RS18775,BPSS0045,Small_molecules_degradation
NC_006350.1,3772907,3773986,-,CDS,CDS,NA,BPS_RS17045,3-dehydroquinate synthase,aroB,BPSL3168,Amino_acid_biosynthesis
NC_006351.1,1773286,1774404,+,CDS,CDS,NA,BPS_RS25800,3-deoxy-7-phosphoheptulonate synthase,BPS_RS25800,BPSS1295,Amino_acid_biosynthesis
NC_006350.1,3399445,3400518,+,CDS,CDS,NA,BPS_RS15240,3-deoxy-7-phosphoheptulonate synthase AroG,aroG,BPSL2839,Amino_acid_biosynthesis
NC_006350.1,2735121,2735975,-,CDS,CDS,NA,BPS_RS12145,3-deoxy-8-phosphooctulonate synthase,kdsA,BPSL2271,Macromolecule_biosynthesis/modification
NC_006350.1,3309425,3310270,-,CDS,CDS,NA,BPS_RS14895,3-deoxy-8-phosphooctulonate synthase,kdsA,BPSL2772,Macromolecule_biosynthesis/modification
NC_006350.1,1016279,1017070,-,CDS,CDS,NA,BPS_RS04605,3-deoxy-manno-octulosonate cytidylyltransferase,kdsB,BPSL0876,Macromolecule_biosynthesis/modification
NC_006350.1,2577935,2578402,-,CDS,CDS,NA,BPS_RS11465,3-hydroxyacyl-ACP dehydratase FabZ,fabZ,BPSL2148,Macromolecule_biosynthesis/modification
NC_006350.1,1549381,1550298,+,CDS,CDS,NA,BPS_RS07015,3-hydroxyacyl-CoA dehydrogenase NAD-binding domain-containing protein,BPS_RS07015,BPSL1325,Small_molecules_degradation
NC_006350.1,736009,738444,+,CDS,CDS,NA,BPS_RS03425,3-hydroxyacyl-CoA dehydrogenase/enoyl-CoA hydratase family protein,BPS_RS03425,BPSL0649,Putative_assignment
NC_006351.1,16285,17070,-,CDS,CDS,NA,BPS_RS18620,3-hydroxybutyrate dehydrogenase,BPS_RS18620,BPSS0017,Small_molecules_degradation
NC_006351.1,494475,495263,+,CDS,CDS,NA,BPS_RS20615,3-hydroxybutyrate dehydrogenase,BPS_RS20615,BPSS0354,Small_molecules_degradation
NC_006351.1,846522,847418,+,CDS,CDS,NA,BPS_RS22050,3-hydroxyisobutyrate dehydrogenase,mmsB,BPSS0620,Small_molecules_degradation
NC_006351.1,2342366,2343775,-,CDS,CDS,NA,BPS_RS28050,3-isopropylmalate dehydratase large subunit,leuC,BPSS1707,Amino_acid_biosynthesis
NC_006351.1,2341492,2342142,-,CDS,CDS,NA,BPS_RS28040,3-isopropylmalate dehydratase small subunit,leuD,BPSS1706,Cell_envelope
NC_006351.1,2340376,2341443,-,CDS,CDS,NA,BPS_RS28035,3-isopropylmalate dehydrogenase,leuB,BPSS1705,Amino_acid_biosynthesis
NC_006351.1,773964,774893,+,CDS,CDS,NA,BPS_RS21770,3-keto-5-aminohexanoate cleavage protein,BPS_RS21770,BPSS0567,Conserved_hypothetical_proteins
NC_006351.1,1024933,1025865,-,CDS,CDS,NA,BPS_RS22855,3-keto-5-aminohexanoate cleavage protein,BPS_RS22855,BPSS0763,Conserved_hypothetical_proteins
NC_006351.1,1853417,1856794,+,CDS,CDS,NA,BPS_RS26130,3-keto-5-aminohexanoate cleavage protein,BPS_RS26130,BPSS1356,Hypothetical_proteins
NC_006351.1,2749555,2750439,+,CDS,CDS,NA,BPS_RS29900,3-keto-5-aminohexanoate cleavage protein,BPS_RS29900,BPSS2035,Conserved_hypothetical_proteins
NC_006351.1,3087497,3088552,+,CDS,CDS,NA,BPS_RS31380,3-keto-5-aminohexanoate cleavage protein,BPS_RS31380,BPSS2295,Hypothetical_proteins
NC_006350.1,1780218,1780958,+,CDS,CDS,NA,BPS_RS08165,3-ketoacyl-ACP reductase,BPS_RS08165,BPSL1536,Central/Intermediary_metabolism
NC_006351.1,655497,656603,+,CDS,CDS,NA,BPS_RS21325,3-ketoacyl-ACP synthase,BPS_RS21325,BPSS0483,Central/Intermediary_metabolism
NC_006351.1,3054057,3055289,-,CDS,CDS,NA,BPS_RS31255,3-methyl-2-oxobutanoate dehydrogenase (2-methylpropanoyl-transferring) subunit alpha,BPS_RS31255,BPSS2273,Small_molecules_degradation
NC_006350.1,3375583,3376398,+,CDS,CDS,NA,BPS_RS15160,3-methyl-2-oxobutanoate hydroxymethyltransferase,panB,BPSL2824,Cofactor/carriers_biosynthesis
NC_006351.1,42747,43460,+,CDS,CDS,NA,BPS_RS18765,3-oxoacid CoA-transferase subunit A,BPS_RS18765,BPSS0043,Small_molecules_degradation
NC_006350.1,2945350,2946099,-,CDS,CDS,NA,BPS_RS13065,3-oxoacyl-ACP reductase FabG,fabG,BPSL2440,Fatty_acid_biosynthesis
NC_006351.1,45642,46427,+,CDS,CDS,NA,BPS_RS18780,3-oxoadipate enol-lactonase,pcaD,BPSS0046,Small_molecules_degradation
NC_006350.1,3632143,3633345,+,CDS,CDS,NA,BPS_RS16355,3-oxoadipyl-CoA thiolase,pcaF,BPSL3042,Small_molecules_degradation
NC_006351.1,365585,366787,+,CDS,CDS,NA,BPS_RS20105,3-oxoadipyl-CoA thiolase,pcaF,BPSS0275,Small_molecules_degradation
NC_006350.1,3034582,3035664,-,CDS,CDS,NA,BPS_RS13515,3-phosphoserine/phosphohydroxythreonine transaminase,serC,BPSL2519,Amino_acid_biosynthesis
NC_006350.1,777987,779342,-,CDS,CDS,NA,BPS_RS03595,3-phosphoshikimate 1-carboxyvinyltransferase,aroA,BPSL0683,Amino_acid_biosynthesis
NC_006350.1,3030977,3033226,-,CDS,CDS,NA,BPS_RS13505,3-phosphoshikimate 1-carboxyvinyltransferase,aroA,BPSL2517,Amino_acid_biosynthesis
NC_006350.1,779381,780688,-,CDS,CDS,NA,BPS_RS03600,3-phosphoskimimate 1-carboxyvinyltransferase,BPS_RS03600,BPSL0684,Amino_acid_biosynthesis
NC_006350.1,1744286,1745062,+,CDS,CDS,NA,BPS_RS08000,3'-5' exonuclease,BPS_RS08000,BPSL1506,Conserved_hypothetical_proteins
NC_006350.1,772598,773320,+,CDS,CDS,NA,BPS_RS03570,3%2C4-dihydroxy-2-butanone-4-phosphate synthase,ribB,BPSL0678,Cofactor/carriers_biosynthesis
NC_006351.1,936566,937414,+,CDS,CDS,NA,BPS_RS22480,3%2C4-dihydroxyphenylacetate 2%2C3-dioxygenase,hpaD,BPSS0695,Small_molecules_degradation
NC_006350.1,3028413,3030125,-,CDS,CDS,NA,BPS_RS13495,30S ribosomal protein S1,rpsA,BPSL2515,Macromolecule_biosynthesis/modification
NC_006350.1,3808983,3809294,-,CDS,CDS,NA,BPS_RS17280,30S ribosomal protein S10,rpsJ,BPSL3214,Ribosome_constituents
NC_006350.1,3797060,3797461,-,CDS,CDS,NA,BPS_RS17155,30S ribosomal protein S11,rpsK,BPSL3189,Ribosome_constituents
NC_006350.1,3813544,3813924,-,CDS,CDS,NA,BPS_RS17300,30S ribosomal protein S12,rpsL,BPSL3218,Ribosome_constituents
NC_006350.1,1782253,1783644,+,CDS,CDS,NA,BPS_RS08175,30S ribosomal protein S12 methylthiotransferase RimO,rimO,BPSL1538,Ribosome_constituents
NC_006350.1,3797485,3797850,-,CDS,CDS,NA,BPS_RS17160,30S ribosomal protein S13,rpsM,BPSL3190,Ribosome_constituents
NC_006350.1,3802177,3802482,-,CDS,CDS,NA,BPS_RS17210,30S ribosomal protein S14,rpsN,BPSL3200,Ribosome_constituents
NC_006350.1,1391276,1391545,+,CDS,CDS,NA,BPS_RS06335,30S ribosomal protein S15,rpsO,BPSL1206,Ribosome_constituents
NC_006350.1,3005174,3005428,-,CDS,CDS,NA,BPS_RS13380,30S ribosomal protein S16,rpsP,BPSL2492,Ribosome_constituents
NC_006350.1,3804043,3804315,-,CDS,CDS,NA,BPS_RS17230,30S ribosomal protein S17,rpsQ,BPSL3204,Ribosome_constituents
NC_006350.1,1695456,1695731,+,CDS,CDS,NA,BPS_RS07755,30S ribosomal protein S18,rpsR,BPSL1460,Ribosome_constituents
NC_006350.1,3806089,3806364,-,CDS,CDS,NA,BPS_RS17255,30S ribosomal protein S19,rpsS,BPSL3209,Ribosome_constituents
NC_006350.1,2589467,2590207,-,CDS,CDS,NA,BPS_RS11520,30S ribosomal protein S2,rpsB,BPSL2159,Ribosome_constituents
NC_006350.1,1011098,1011376,-,CDS,CDS,NA,BPS_RS04580,30S ribosomal protein S20,rpsT,BPSL0871,Ribosome_constituents
NC_006350.1,3936905,3937117,-,CDS,CDS,NA,BPS_RS17880,30S ribosomal protein S21,rpsU,BPSL3318,Ribosome_constituents
NC_006351.1,1867543,1867755,+,CDS,CDS,NA,BPS_RS26195,30S ribosomal protein S21,rpsU,BPSS1364a,Adaptation
NC_006351.1,2411951,2412163,-,CDS,CDS,NA,BPS_RS28335,30S ribosomal protein S21,rpsU,BPSS1758,Ribosome_constituents
NC_006350.1,3804935,3805735,-,CDS,CDS,NA,BPS_RS17245,30S ribosomal protein S3,rpsC,BPSL3207,Ribosome_constituents
NC_006350.1,3796286,3796909,-,CDS,CDS,NA,BPS_RS17150,30S ribosomal protein S4,rpsD,BPSL3188,Ribosome_constituents
NC_006350.1,3800306,3800824,-,CDS,CDS,NA,BPS_RS17190,30S ribosomal protein S5,rpsE,BPSL3196,Ribosome_constituents
NC_006350.1,1694743,1695117,+,CDS,CDS,NA,BPS_RS07745,30S ribosomal protein S6,rpsF,BPSL1458,Ribosome_constituents
NC_006350.1,3812903,3813373,-,CDS,CDS,NA,BPS_RS17295,30S ribosomal protein S7,rpsG,BPSL3217,Ribosome_constituents
NC_006350.1,3801767,3802162,-,CDS,CDS,NA,BPS_RS17205,30S ribosomal protein S8,rpsH,BPSL3199,Ribosome_constituents
NC_006350.1,3479344,3479736,-,CDS,CDS,NA,BPS_RS15610,30S ribosomal protein S9,rpsI,BPSL2910,Ribosome_constituents
NC_006350.1,2284880,2285248,-,CDS,CDS,NA,BPS_RS10210,30S ribosome-binding factor RbfA,rbfA,BPSL1917,Ribosome_constituents
NC_006350.1,2378361,2380346,+,CDS,CDS,NA,BPS_RS10605,3D-(3%2C5/4)-trihydroxycyclohexane-1%2C2-dione acylhydrolase (decyclizing),iolD,BPSL1995,ARG
NC_006350.1,575258,576139,-,CDS,CDS,NA,BPS_RS02750,4-(cytidine 5'-diphospho)-2-C-methyl-D-erythritol kinase,ispE,BPSL0523,Central/Intermediary_metabolism
NC_006350.1,2495578,2497800,+,CDS,CDS,NA,BPS_RS11080,4-alpha-glucanotransferase,malQ,BPSL2079,Macromolecule_degradation
NC_006351.1,375588,376871,-,CDS,CDS,NA,BPS_RS20150,4-aminobutyrate--2-oxoglutarate transaminase,BPS_RS20150,BPSS0281,Central/Intermediary_metabolism
NC_006351.1,46443,46829,+,CDS,CDS,NA,BPS_RS18785,4-carboxymuconolactone decarboxylase,pcaC,BPSS0047,Small_molecules_degradation
NC_006350.1,1703888,1704784,-,CDS,CDS,NA,BPS_RS07805,4-deoxy-4-formamido-L-arabinose-phosphoundecaprenol deformylase,BPS_RS07805,BPSL1468,Conserved_hypothetical_proteins
NC_006351.1,938700,939506,+,CDS,CDS,NA,BPS_RS22495,4-hydroxy-2-oxoheptanedioate aldolase,hpaI,BPSS0698,Small_molecules_degradation
NC_006351.1,2466225,2467268,-,CDS,CDS,NA,BPS_RS28610,4-hydroxy-2-oxovalerate aldolase,dmpG,BPSS1807,Small_molecules_degradation
NC_006350.1,1071362,1072342,+,CDS,CDS,NA,BPS_RS04850,4-hydroxy-3-methylbut-2-enyl diphosphate reductase,ispH,BPSL0919,Hypothetical_proteins
NC_006351.1,2932395,2933336,+,CDS,CDS,NA,BPS_RS30675,4-hydroxy-3-methylbut-2-enyl diphosphate reductase,ispH,BPSS2168,Central/Intermediary_metabolism
NC_006350.1,3512355,3513152,-,CDS,CDS,NA,BPS_RS15780,4-hydroxy-tetrahydrodipicolinate reductase,dapB,BPSL2941,Amino_acid_biosynthesis
NC_006350.1,369407,370303,-,CDS,CDS,NA,BPS_RS01820,4-hydroxy-tetrahydrodipicolinate synthase,dapA,BPSL0346,Amino_acid_biosynthesis
NC_006350.1,2723653,2724555,-,CDS,CDS,NA,BPS_RS12080,4-hydroxy-tetrahydrodipicolinate synthase,dapA,BPSL2258,Amino_acid_biosynthesis
NC_006351.1,41316,42539,+,CDS,CDS,NA,BPS_RS18760,4-hydroxybenzoate 3-monooxygenase,BPS_RS18760,BPSS0042,Small_molecules_degradation
NC_006350.1,3422301,3423164,-,CDS,CDS,NA,BPS_RS15350,4-hydroxybenzoate octaprenyltransferase,ubiA,BPSL2861,Cofactor/carriers_biosynthesis
NC_006351.1,213590,215074,+,CDS,CDS,NA,BPS_RS19465,4-hydroxyphenylacetate 3-hydroxylase family protein,BPS_RS19465,BPSS0162,Adaptation
NC_006350.1,3845771,3846868,+,CDS,CDS,NA,BPS_RS17455,4-hydroxyphenylpyruvate dioxygenase,hppD,BPSL3239,ARG
NC_006351.1,464132,465064,+,CDS,CDS,NA,BPS_RS20465,4-hydroxyproline epimerase,BPS_RS20465,BPSS0332,Central/Intermediary_metabolism
NC_006350.1,751131,752180,+,CDS,CDS,NA,BPS_RS03480,4-hydroxythreonine-4-phosphate dehydrogenase PdxA,pdxA,BPSL0660,Cofactor/carriers_biosynthesis
NC_006351.1,385174,385251,+,CDS,CDS,NA,BPS_RS32750,4-oxalocrotonate tautomerase,NA,NA,NA
NC_006351.1,750235,750768,+,CDS,CDS,NA,BPS_RS21675,4-vinyl reductase,BPS_RS21675,BPSS0549,Conserved_hypothetical_proteins
NC_006350.1,2834673,2835464,-,CDS,CDS,NA,BPS_RS12540,4'-phosphopantetheinyl transferase superfamily protein,BPS_RS12540,BPSL2345,Hypothetical_proteins
NC_006351.1,3044311,3045126,-,CDS,CDS,NA,BPS_RS31210,4'-phosphopantetheinyl transferase superfamily protein,BPS_RS31210,BPSS2266,Putative_assignment
NC_006351.1,3123622,3124386,-,CDS,CDS,NA,BPS_RS31530,4'-phosphopantetheinyl transferase superfamily protein,BPS_RS31530,BPSS2320,Putative_assignment
