name_Sanger,name,Accession.no,Source,Country,year,ST,cluster_poppunk_old,cluster_poppunk_updated,Collection,Continent
10156_4#14,ERR339142,ERR339142,human,Thailand,2011,872,26,26,Claire,Asia
10156_4#15,ERR339143,ERR339143,human,Thailand,2011,495,16,16,Claire,Asia
10156_4#16,ERR339144,ERR339144,human,Thailand,2011,178,11,11,Claire,Asia
10156_4#17,ERR339145,ERR339145,human,Thailand,2011,208,10,10,Claire,Asia
10156_4#18,ERR339146,ERR339146,human,Thailand,2011,225,16,16,Claire,Asia
10156_4#19,ERR339147,ERR339147,human,Thailand,2011,Novel,27,27,Claire,Asia
10156_4#2,ERR339130,ERR339130,human,Thailand,2011,50,2,2,Claire,Asia
10156_4#20,ERR339148,ERR339148,human,Thailand,2011,932,6,6,Claire,Asia
10156_4#21,ERR339149,ERR339149,human,Thailand,2011,174,7,7,Claire,Asia
10156_4#22,ERR339150,ERR339150,human,Thailand,2011,70,1,1,Claire,Asia
10156_4#23,ERR339151,ERR339151,human,Thailand,2011,54,6,6,Claire,Asia
10156_4#24,ERR339152,ERR339152,human,Thailand,2011,208,10,10,Claire,Asia
10156_4#25,ERR339153,ERR339153,human,Thailand,2011,54,6,6,Claire,Asia
10156_4#26,ERR339154,ERR339154,human,Thailand,2011,656,51,51,Claire,Asia
10156_4#27,ERR339155,ERR339155,human,Thailand,2011,183,4,4,Claire,Asia
10156_4#28,ERR339156,ERR339156,human,Thailand,2011,17,3,3,Claire,Asia
10156_4#29,ERR339157,ERR339157,human,Thailand,2011,93,2,2,Claire,Asia
10156_4#3,ERR339131,ERR339131,human,Thailand,2011,313,39,39,Claire,Asia
10156_4#30,ERR339158,ERR339158,human,Thailand,2011,315,13,13,Claire,Asia
10156_4#31,ERR339159,ERR339159,human,Thailand,2011,531,18,18,Claire,Asia
10156_4#32,ERR339160,ERR339160,human,Thailand,2011,70,1,1,Claire,Asia
10156_4#33,ERR339161,ERR339161,human,Thailand,2011,208*,10,10,Claire,Asia
10156_4#34,ERR339162,ERR339162,human,Thailand,2011,545,56,56,Claire,Asia
10156_4#35,ERR339163,ERR339163,human,Thailand,2011,34,4,4,Claire,Asia
10156_4#36,ERR339164,ERR339164,human,Thailand,2011,9,3,3,Claire,Asia
10156_4#37,ERR339165,ERR339165,human,Thailand,2011,Novel,2,2,Claire,Asia
10156_4#38,ERR339166,ERR339166,human,Thailand,2011,298,35,35,Claire,Asia
10156_4#39,ERR339167,ERR339167,human,Thailand,2011,288,7,7,Claire,Asia
10156_4#40,ERR339168,ERR339168,human,Thailand,2011,58,2,2_3,Claire,Asia
10156_4#41,ERR339169,ERR339169,human,Thailand,2011,306,3,3,Claire,Asia
10156_4#42,ERR339170,ERR339170,human,Thailand,2011,Novel,4,4,Claire,Asia
10156_4#43,ERR339171,ERR339171,human,Thailand,2011,23,3,3,Claire,Asia
10156_4#44,ERR339172,ERR339172,human,Thailand,2011,225,16,16,Claire,Asia
10156_4#45,ERR339173,ERR339173,human,Thailand,2011,526,3,3,Claire,Asia
10156_4#46,ERR339174,ERR339174,human,Thailand,2011,227,8,8,Claire,Asia
10156_4#47,ERR339175,ERR339175,human,Thailand,2011,185,32,32,Claire,Asia
10156_4#48,ERR339176,ERR339176,human,Thailand,2011,Novel,150,150,Claire,Asia
10156_4#49,ERR339177,ERR339177,human,Thailand,2011,Novel,11,11,Claire,Asia
10156_4#5,ERR339133,ERR339133,human,Thailand,2011,99,2,2,Claire,Asia
10156_4#50,ERR339178,ERR339178,human,Thailand,2011,33,4,4,Claire,Asia
10156_4#51,ERR339179,ERR339179,human,Thailand,2011,176,2,2_2,Claire,Asia
10156_4#52,ERR339180,ERR339180,human,Thailand,2011,309,16,16,Claire,Asia
10156_4#53,ERR339181,ERR339181,human,Thailand,2011,685,13,13,Claire,Asia
10156_4#54,ERR339182,ERR339182,human,Thailand,2011,1793,68,68,Claire,Asia
10156_4#55,ERR339183,ERR339183,human,Thailand,2011,Novel,151,151,Claire,Asia
10156_4#56,ERR339184,ERR339184,human,Thailand,2011,33,4,4,Claire,Asia
10156_4#57,ERR339185,ERR339185,human,Thailand,2011,58,2,2_3,Claire,Asia
10156_4#58,ERR339186,ERR339186,human,Thailand,2011,34,4,4,Claire,Asia
10156_4#59,ERR339187,ERR339187,human,Thailand,2011,288,7,7,Claire,Asia
10156_4#6,ERR339134,ERR339134,human,Thailand,2011,1793,68,68,Claire,Asia
10156_4#60,ERR339188,ERR339188,human,Thailand,2011,34,4,4,Claire,Asia
10156_4#7,ERR339135,ERR339135,human,Thailand,2011,207,8,8,Claire,Asia
10156_4#8,ERR339136,ERR339136,human,Thailand,2011,47,2,2_2,Claire,Asia
10156_4#9,ERR339137,ERR339137,human,Thailand,2011,48,2,2,Claire,Asia
10156_5#1,ERR339189,ERR339189,human,Thailand,2011,178,11,11,Claire,Asia
10156_5#10,ERR339198,ERR339198,human,Thailand,2011,9,3,3,Claire,Asia
10156_5#11,ERR339199,ERR339199,human,Thailand,2011,221,56,56,Claire,Asia
10156_5#12,ERR339200,ERR339200,human,Thailand,2011,1535,2,2_2,Claire,Asia
10156_5#13,ERR339201,ERR339201,human,Thailand,2011,58,2,2_3,Claire,Asia
10156_5#14,ERR339202,ERR339202,human,Thailand,2011,288,7,7,Claire,Asia
10156_5#15,ERR339203,ERR339203,human,Thailand,2011,207,2,2,Claire,Asia
10156_5#16,ERR339204,ERR339204,human,Thailand,2011,47,20,20,Claire,Asia
10156_5#17,ERR339205,ERR339205,human,Thailand,2011,34,4,4,Claire,Asia
10156_5#18,ERR339206,ERR339206,human,Thailand,2011,306,3,3,Claire,Asia
10156_5#19,ERR339207,ERR339207,human,Thailand,2011,656,51,51,Claire,Asia
10156_5#2,ERR339190,ERR339190,human,Thailand,2011,527,2,2,Claire,Asia
10156_5#20,ERR339208,ERR339208,human,Thailand,2011,58,2,2_3,Claire,Asia
10156_5#21,ERR339209,ERR339209,human,Thailand,2011,208,10,10,Claire,Asia
10156_5#22,ERR339210,ERR339210,human,Thailand,2011,9,3,3,Claire,Asia
10156_5#23,ERR339211,ERR339211,human,Thailand,2011,307,3,3,Claire,Asia
10156_5#24,ERR339212,ERR339212,human,Thailand,2011,70,1,1,Claire,Asia
10156_5#25,ERR339213,ERR339213,human,Thailand,2011,Novel,51,51,Claire,Asia
10156_5#26,ERR339214,ERR339214,human,Thailand,2011,180,31,31,Claire,Asia
10156_5#27,ERR339215,ERR339215,human,Thailand,2011,48,2,2,Claire,Asia
10156_5#28,ERR339216,ERR339216,human,Thailand,2011,60,2,2_2,Claire,Asia
10156_5#29,ERR339217,ERR339217,human,Thailand,2011,70,1,1,Claire,Asia
10156_5#3,ERR339191,ERR339191,human,Thailand,2011,188,152,152,Claire,Asia
10156_5#30,ERR339218,ERR339218,human,Thailand,2011,1819,8,8,Claire,Asia
10156_5#31,ERR339219,ERR339219,env,Thailand,2010,354,45,45,Claire,Asia
10156_5#32,ERR339220,ERR339220,env,Thailand,2010,48,2,2,Claire,Asia
10156_5#33,ERR339221,ERR339221,env,Thailand,2010,354,45,45,Claire,Asia
10156_5#34,ERR339222,ERR339222,env,Thailand,2010,48,2,2,Claire,Asia
10156_5#35,ERR339223,ERR339223,env,Thailand,2010,48,2,2,Claire,Asia
10156_5#36,ERR339224,ERR339224,env,Thailand,2010,48,2,2,Claire,Asia
10156_5#37,ERR339225,ERR339225,env,Thailand,2010,48,2,2,Claire,Asia
10156_5#38,ERR339226,ERR339226,env,Thailand,2010,48,2,2,Claire,Asia
10156_5#39,ERR339227,ERR339227,env,Thailand,2010,48,2,2,Claire,Asia
10156_5#40,ERR339228,ERR339228,env,Thailand,2010,48,2,2,Claire,Asia
10156_5#41,ERR339229,ERR339229,env,Thailand,2010,176,2,2_2,Claire,Asia
10156_5#42,ERR339230,ERR339230,env,Thailand,2010,58,2,2_3,Claire,Asia
10156_5#43,ERR339231,ERR339231,env,Thailand,2010,58,2,2_3,Claire,Asia
10156_5#44,ERR339232,ERR339232,env,Thailand,2010,58,2,2_3,Claire,Asia
10156_5#45,ERR339233,ERR339233,env,Thailand,2010,58,2,2_3,Claire,Asia
10156_5#46,ERR339234,ERR339234,env,Thailand,2010,168,46,46,Claire,Asia
10156_5#47,ERR339235,ERR339235,env,Thailand,2010,176,2,2_2,Claire,Asia
10156_5#48,ERR339236,ERR339236,env,Thailand,2010,Novel,46,46,Claire,Asia
10156_5#49,ERR339237,ERR339237,env,Thailand,2010,176,2,2_2,Claire,Asia
10156_5#5,ERR339193,ERR339193,human,Thailand,2011,70,1,1,Claire,Asia
10156_5#50,ERR339238,ERR339238,env,Thailand,2010,58,2,2_3,Claire,Asia
10156_5#51,ERR339239,ERR339239,env,Thailand,2010,54,6,6,Claire,Asia
10156_5#52,ERR339240,ERR339240,env,Thailand,2010,48,2,2,Claire,Asia
10156_5#53,ERR339241,ERR339241,env,Thailand,2010,48,2,2,Claire,Asia
10156_5#54,ERR339242,ERR339242,env,Thailand,2010,219,23,23,Claire,Asia
10156_5#55,ERR339243,ERR339243,env,Thailand,2010,1535,2,2_2,Claire,Asia
10156_5#56,ERR339244,ERR339244,env,Thailand,2010,60,2,2_2,Claire,Asia
10156_5#57,ERR339245,ERR339245,env,Thailand,2010,48,2,2,Claire,Asia
10156_5#58,ERR339246,ERR339246,env,Thailand,2010,219,23,23,Claire,Asia
10156_5#59,ERR339247,ERR339247,env,Thailand,2010,70,1,1,Claire,Asia
10156_5#6,ERR339194,ERR339194,human,Thailand,2011,162,2,2,Claire,Asia
10156_5#60,ERR339248,ERR339248,env,Thailand,2010,219,23,23,Claire,Asia
10156_5#7,ERR339195,ERR339195,human,Thailand,2011,208,10,10,Claire,Asia
10156_5#8,ERR339196,ERR339196,human,Thailand,2011,56,2,2,Claire,Asia
10156_5#9,ERR339197,ERR339197,human,Thailand,2011,526,3,3,Claire,Asia
10156_6#1,ERR339249,ERR339249,env,Thailand,2010,70,1,1,Claire,Asia
10156_6#10,ERR339258,ERR339258,env,Thailand,2010,Novel,4,4,Claire,Asia
10156_6#11,ERR339259,ERR339259,env,Thailand,2010,Novel,4,4,Claire,Asia
10156_6#12,ERR339260,ERR339260,env,Thailand,2010,174,7,7,Claire,Asia
10156_6#13,ERR339261,ERR339261,env,Thailand,2010,174,7,7,Claire,Asia
10156_6#14,ERR339262,ERR339262,env,Thailand,2010,174,7,7,Claire,Asia
10156_6#15,ERR339263,ERR339263,env,Thailand,2010,174,7,7,Claire,Asia
10156_6#16,ERR339264,ERR339264,env,Thailand,2010,174,7,7,Claire,Asia
10156_6#17,ERR339265,ERR339265,env,Thailand,2010,174,7,7,Claire,Asia
10156_6#18,ERR339266,ERR339266,env,Thailand,2010,174,7,7,Claire,Asia
10156_6#19,ERR339267,ERR339267,env,Thailand,2010,174,7,7,Claire,Asia
10156_6#2,ERR339250,ERR339250,env,Thailand,2010,Novel,4,4,Claire,Asia
10156_6#20,ERR339268,ERR339268,env,Thailand,2010,174,7,7,Claire,Asia
10156_6#21,ERR339269,ERR339269,env,Thailand,2010,174,7,7,Claire,Asia
10156_6#22,ERR339270,ERR339270,env,Thailand,2010,220,1,1,Claire,Asia
10156_6#23,ERR339271,ERR339271,env,Thailand,2010,220,1,1,Claire,Asia
10156_6#24,ERR339272,ERR339272,env,Thailand,2010,220,1,1,Claire,Asia
10156_6#25,ERR339273,ERR339273,env,Thailand,2010,220,1,1,Claire,Asia
10156_6#26,ERR339274,ERR339274,env,Thailand,2010,220,1,1,Claire,Asia
10156_6#27,ERR339275,ERR339275,env,Thailand,2010,220,1,1,Claire,Asia
10156_6#28,ERR339276,ERR339276,env,Thailand,2010,220,1,1,Claire,Asia
10156_6#29,ERR339277,ERR339277,env,Thailand,2010,220,1,1,Claire,Asia
10156_6#3,ERR339251,ERR339251,env,Thailand,2010,Novel,4,4,Claire,Asia
10156_6#30,ERR339278,ERR339278,env,Thailand,2010,220,1,1,Claire,Asia
10156_6#31,ERR339279,ERR339279,env,Thailand,2010,220,1,1,Claire,Asia
10156_6#32,ERR339280,ERR339280,env,Thailand,2010,Novel,81,81,Claire,Asia
10156_6#33,ERR339281,ERR339281,env,Thailand,2010,Novel,81,81,Claire,Asia
10156_6#34,ERR339282,ERR339282,env,Thailand,2010,Novel,69,69,Claire,Asia
10156_6#35,ERR339283,ERR339283,env,Thailand,2010,70,1,1,Claire,Asia
10156_6#36,ERR339284,ERR339284,env,Thailand,2010,Novel,69,69,Claire,Asia
10156_6#37,ERR339285,ERR339285,env,Thailand,2010,Novel,69,69,Claire,Asia
10156_6#38,ERR339286,ERR339286,env,Thailand,2010,Novel,69,69,Claire,Asia
10156_6#39,ERR339287,ERR339287,env,Thailand,2010,Novel,102,102,Claire,Asia
10156_6#40,ERR339288,ERR339288,env,Thailand,2010,70,1,1,Claire,Asia
10156_6#41,ERR339289,ERR339289,env,Thailand,2010,Novel,102,102,Claire,Asia
10156_6#42,ERR339290,ERR339290,env,Thailand,2010,48,2,2,Claire,Asia
10156_6#43,ERR339291,ERR339291,env,Thailand,2010,70,1,1,Claire,Asia
10156_6#44,ERR339292,ERR339292,env,Thailand,2010,70,1,1,Claire,Asia
10156_6#45,ERR339293,ERR339293,env,Thailand,2010,70,1,1,Claire,Asia
10156_6#46,ERR339294,ERR339294,env,Thailand,2010,34,4,4,Claire,Asia
10156_6#47,ERR339295,ERR339295,env,Thailand,2010,70,1,1,Claire,Asia
10156_6#48,ERR339296,ERR339296,env,Thailand,2010,70,1,1,Claire,Asia
10156_6#49,ERR339297,ERR339297,env,Thailand,2010,70,1,1,Claire,Asia
10156_6#5,ERR339253,ERR339253,env,Thailand,2010,Novel,4,4,Claire,Asia
10156_6#50,ERR339298,ERR339298,env,Thailand,2010,70,1,1,Claire,Asia
10156_6#51,ERR339299,ERR339299,env,Thailand,2010,70,1,1,Claire,Asia
10156_6#52,ERR339300,ERR339300,env,Thailand,2011,68,1,1,Claire,Asia
10156_6#53,ERR339301,ERR339301,env,Thailand,2011,Novel,81,81,Claire,Asia
10156_6#54,ERR339302,ERR339302,env,Thailand,2011,68,1,1,Claire,Asia
10156_6#55,ERR339303,ERR339303,env,Thailand,2011,68,1,1,Claire,Asia
10156_6#56,ERR339304,ERR339304,env,Thailand,2011,68,1,1,Claire,Asia
10156_6#57,ERR339305,ERR339305,env,Thailand,2011,68,1,1,Claire,Asia
10156_6#58,ERR339306,ERR339306,env,Thailand,2011,68,1,1,Claire,Asia
10156_6#59,ERR339307,ERR339307,env,Thailand,2011,68,1,1,Claire,Asia
10156_6#6,ERR339254,ERR339254,env,Thailand,2010,Novel,4,4,Claire,Asia
10156_6#60,ERR339308,ERR339308,env,Thailand,2011,68,1,1,Claire,Asia
10156_6#7,ERR339255,ERR339255,env,Thailand,2010,Novel,4,4,Claire,Asia
10156_6#8,ERR339256,ERR339256,env,Thailand,2010,Novel,4,4,Claire,Asia
10156_6#9,ERR339257,ERR339257,env,Thailand,2010,Novel,4,4,Claire,Asia
10156_7#1,ERR339309,ERR339309,env,Thailand,2011,70,1,1,Claire,Asia
10156_7#10,ERR339318,ERR339318,env,Thailand,2011,154,37,37,Claire,Asia
10156_7#11,ERR339319,ERR339319,env,Thailand,2011,211,52,52,Claire,Asia
10156_7#12,ERR339320,ERR339320,env,Thailand,2011,93*,2,2,Claire,Asia
10156_7#13,ERR339321,ERR339321,env,Thailand,2011,218,17,17,Claire,Asia
10156_7#14,ERR339322,ERR339322,env,Thailand,2011,218,17,17,Claire,Asia
10156_7#15,ERR339323,ERR339323,env,Thailand,2011,93,2,2,Claire,Asia
10156_7#16,ERR339324,ERR339324,env,NA,2011,Novel*,17,17,Claire,NA
10156_7#17,ERR339325,ERR339325,env,Thailand,2011,218,17,17,Claire,Asia
10156_7#18,ERR339326,ERR339326,env,Thailand,2011,218,17,17,Claire,Asia
10156_7#19,ERR339327,ERR339327,env,Thailand,2011,93,2,2,Claire,Asia
10156_7#2,ERR339310,ERR339310,env,Thailand,2011,154,37,37,Claire,Asia
10156_7#20,ERR339328,ERR339328,env,Thailand,2011,218,17,17,Claire,Asia
10156_7#21,ERR339329,ERR339329,env,Thailand,2011,218,17,17,Claire,Asia
10156_7#22,ERR339330,ERR339330,env,Thailand,2011,197,4,4,Claire,Asia
10156_7#23,ERR339331,ERR339331,env,Thailand,2011,60,2,2_2,Claire,Asia
10156_7#24,ERR339332,ERR339332,env,Thailand,2011,60,2,2_2,Claire,Asia
10156_7#25,ERR339333,ERR339333,env,Thailand,2011,Novel,1,1,Claire,Asia
10156_7#26,ERR339334,ERR339334,env,Thailand,2011,70,1,1,Claire,Asia
10156_7#27,ERR339335,ERR339335,env,Thailand,2011,48,2,2,Claire,Asia
10156_7#28,ERR339336,ERR339336,env,Thailand,2011,206,3,3,Claire,Asia
10156_7#29,ERR339337,ERR339337,env,Thailand,2011,206,3,3,Claire,Asia
10156_7#3,ERR339311,ERR339311,env,Thailand,2011,154,37,37,Claire,Asia
10156_7#30,ERR339338,ERR339338,env,Thailand,2011,197,4,4,Claire,Asia
10156_7#31,ERR339339,ERR339339,env,Thailand,2011,60,2,2_2,Claire,Asia
10156_7#32,ERR339340,ERR339340,env,Thailand,2012,48,2,2,Claire,Asia
10156_7#33,ERR339341,ERR339341,env,Thailand,2012,48,2,2,Claire,Asia
10156_7#34,ERR339342,ERR339342,env,Thailand,2012,48,2,2,Claire,Asia
10156_7#35,ERR339343,ERR339343,env,Thailand,2012,48,2,2,Claire,Asia
10156_7#36,ERR339344,ERR339344,env,Thailand,2012,48,2,2,Claire,Asia
10156_7#37,ERR339345,ERR339345,env,Thailand,2012,48,2,2,Claire,Asia
10156_7#38,ERR339346,ERR339346,env,Thailand,2012,48,2,2,Claire,Asia
10156_7#39,ERR339347,ERR339347,env,Thailand,2012,48,2,2,Claire,Asia
10156_7#40,ERR339348,ERR339348,env,Thailand,2012,48,2,2,Claire,Asia
10156_7#41,ERR339349,ERR339349,env,Thailand,2012,48,2,2,Claire,Asia
10156_7#42,ERR339350,ERR339350,env,Thailand,2012,48,2,2,Claire,Asia
10156_7#43,ERR339351,ERR339351,env,Thailand,2012,48,2,2,Claire,Asia
10156_7#44,ERR339352,ERR339352,env,Thailand,2012,48,2,2,Claire,Asia
10156_7#46,ERR339354,ERR339354,env,Thailand,2012,48,2,2,Claire,Asia
10156_7#47,ERR339355,ERR339355,env,Thailand,2012,47,2,2,Claire,Asia
10156_7#48,ERR339356,ERR339356,env,Thailand,2012,48,2,2,Claire,Asia
10156_7#49,ERR339357,ERR339357,env,Thailand,2012,48,2,2,Claire,Asia
10156_7#5,ERR339313,ERR339313,env,Thailand,2011,154,37,37,Claire,Asia
10156_7#50,ERR339358,ERR339358,env,Thailand,2012,48*,2,2,Claire,Asia
10156_7#51,ERR339359,ERR339359,env,Thailand,2012,47,2,2,Claire,Asia
10156_7#52,ERR339360,ERR339360,env,Thailand,2010,705,5,5,Claire,Asia
10156_7#53,ERR339361,ERR339361,env,Thailand,2010,705,5,5,Claire,Asia
10156_7#54,ERR339362,ERR339362,env,Thailand,2010,208*,10,10,Claire,Asia
10156_7#55,ERR339363,ERR339363,env,Thailand,2010,208*,10,10,Claire,Asia
10156_7#56,ERR339364,ERR339364,env,Thailand,2010,705,5,5,Claire,Asia
10156_7#57,ERR339365,ERR339365,env,Thailand,2010,174,7,7,Claire,Asia
10156_7#58,ERR339366,ERR339366,env,Thailand,2011,705,5,5,Claire,Asia
10156_7#59,ERR339367,ERR339367,env,Thailand,2011,174,7,7,Claire,Asia
10156_7#6,ERR339314,ERR339314,env,Thailand,2011,154,37,37,Claire,Asia
10156_7#60,ERR339368,ERR339368,env,Thailand,2011,174,7,7,Claire,Asia
10156_7#7,ERR339315,ERR339315,env,Thailand,2011,211,52,52,Claire,Asia
10156_7#8,ERR339316,ERR339316,env,Thailand,2011,154,37,37,Claire,Asia
10156_7#9,ERR339317,ERR339317,env,Thailand,2011,154,37,37,Claire,Asia
10156_8#1,ERR339369,ERR339369,env,Thailand,2011,174,7,7,Claire,Asia
10156_8#10,ERR339378,ERR339378,env,Thailand,2011,1801,27,27,Claire,Asia
10156_8#11,ERR339379,ERR339379,env,Thailand,2011,1801,27,27,Claire,Asia
10156_8#12,ERR339380,ERR339380,env,Thailand,2011,1801,27,27,Claire,Asia
10156_8#13,ERR339381,ERR339381,env,Thailand,2011,1801,27,27,Claire,Asia
10156_8#14,ERR339382,ERR339382,env,Thailand,2011,1801,27,27,Claire,Asia
10156_8#15,ERR339383,ERR339383,env,Thailand,2011,1801,27,27,Claire,Asia
10156_8#16,ERR339384,ERR339384,env,Thailand,2011,1801,27,27,Claire,Asia
10156_8#17,ERR339385,ERR339385,env,Thailand,2011,1801,27,27,Claire,Asia
10156_8#18,ERR339386,ERR339386,env,Thailand,2011,1820,2,2,Claire,Asia
10156_8#19,ERR339387,ERR339387,env,Thailand,2011,1820,2,2,Claire,Asia
10156_8#2,ERR339370,ERR339370,env,Thailand,2011,174,7,7,Claire,Asia
10156_8#20,ERR339388,ERR339388,env,Thailand,2011,1820,2,2,Claire,Asia
10156_8#21,ERR339389,ERR339389,env,Thailand,2011,1820,2,2,Claire,Asia
10156_8#22,ERR339390,ERR339390,env,Thailand,2011,1820,2,2,Claire,Asia
10156_8#23,ERR339391,ERR339391,env,Thailand,2011,1820,2,2,Claire,Asia
10156_8#24,ERR339392,ERR339392,env,Thailand,2011,1820,2,2,Claire,Asia
10156_8#25,ERR339393,ERR339393,env,Thailand,2011,1820,2,2,Claire,Asia
10156_8#26,ERR339394,ERR339394,env,Thailand,2011,1820,2,2,Claire,Asia
10156_8#27,ERR339395,ERR339395,env,Thailand,2011,1820,2,2,Claire,Asia
10156_8#28,ERR339396,ERR339396,env,Thailand,2011,58,2,2_3,Claire,Asia
10156_8#29,ERR339397,ERR339397,env,Thailand,2011,176,2,2_2,Claire,Asia
10156_8#3,ERR339371,ERR339371,env,Thailand,2011,174,7,7,Claire,Asia
10156_8#30,ERR339398,ERR339398,env,Thailand,2011,176,2,2_2,Claire,Asia
10156_8#31,ERR339399,ERR339399,env,Thailand,2011,176,2,2_2,Claire,Asia
10156_8#32,ERR339400,ERR339400,env,Thailand,2011,176,2,2_2,Claire,Asia
